,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year
396,Lee Smith,ATL,TE,34,16,6,11,9,0,0,0,0,0,0,65,1,13,0,0,0,2021
397,Kenny Stills,NOR,WR,29,13,4,23,6,0,0,0,1,0,1,68,1,13,0,0,0,2021
398,Michael Burton,KAN,RB,29,16,0,3,3,0,0,0,26,1,8,31,0,12,0,0,0,2021
399,Jacob Hollister,JAX,TE,28,7,2,14,9,0,0,0,0,0,0,55,1,12,0,0,0,2021
400,Brian Hoyer,NWE,QB,36,5,0,0,0,227,1,11,-8,0,11,0,0,12,0,0,0,2021
401,Jesse James,CHI,TE,27,14,9,8,7,0,0,0,0,0,0,62,1,12,0,0,0,2021
402,Joshua Kelley,LAC,RB,24,10,0,6,5,0,0,0,102,0,33,38,0,12,0,1,1,2021
403,Tom Kennedy,DET,WR,25,12,0,10,6,75,1,1,0,0,0,54,0,12,0,0,0,2021
404,Antony Auclair,HOU,TE,28,16,13,5,5,0,0,0,0,0,0,47,1,11,0,0,0,2021
405,Phillip Dorsett,3TM,WR,28,6,0,14,7,0,0,0,0,0,1,110,0,11,0,0,0,2021
406,Ross Dwelley,SFO,TE,26,17,2,5,4,0,0,0,0,0,0,51,1,11,0,0,0,2021
407,Dez Fitzpatrick,TEN,WR,24,4,0,8,5,0,0,0,0,0,0,49,1,11,0,0,0,2021
408,Jake Fromm,NYG,QB,23,3,2,0,0,210,1,60,65,0,8,0,0,11,3,2,1,2021
409,Kylen Granson,IND,TE,23,17,0,15,11,0,0,0,0,0,0,106,0,11,0,0,0,2021
410,Collin Johnson,NYG,WR,24,12,1,21,11,0,0,0,0,0,0,105,0,11,0,0,0,2021
411,Marlon Mack,IND,RB,25,6,0,5,2,0,0,0,101,0,28,8,0,11,0,0,0,2021
412,Jalen Richard,LVR,RB,28,10,0,14,12,0,0,0,40,0,9,72,0,11,0,0,0,2021
413,Eric Saubert,DEN,TE,27,17,4,12,8,0,0,0,0,0,0,47,1,11,0,0,0,2021
414,Adam Shaheen,MIA,TE,27,12,7,16,12,0,0,0,0,0,0,110,0,11,0,0,0,2021
415,Jeff Smith,NYJ,WR,24,12,3,17,8,0,0,0,-1,0,1,113,0,11,0,0,0,2021
416,Benny Snell Jr.,PIT,RB,23,17,0,4,2,0,0,0,98,0,36,13,0,11,0,0,0,2021
417,Equanimeous St. Brown,GNB,WR,25,13,2,17,9,0,0,0,14,0,3,98,0,11,0,0,0,2021
418,Ryquell Armstead,JAX,RB,25,2,0,4,3,0,0,0,80,0,15,16,0,10,0,0,0,2021
419,Blake Bell,KAN,TE,30,16,5,13,9,0,0,0,10,0,4,87,0,10,0,0,0,2021
420,Trinity Benson,DET,WR,24,8,2,22,10,0,0,0,0,0,0,103,0,10,0,0,0,2021
421,Jason Cabinda,DET,RB,25,14,4,7,4,0,0,0,23,0,3,16,1,10,0,0,0,2021
422,Noah Gray,KAN,TE,22,16,1,10,7,0,0,0,0,0,0,36,1,10,0,0,0,2021
423,Chris Herndon,MIN,TE,25,16,5,7,4,0,0,0,0,0,0,40,1,10,0,0,0,2021
424,Chris Hogan,NOR,WR,34,5,1,8,4,0,0,0,0,0,0,41,1,10,0,0,0,2021
425,Nick Mullens,CLE,QB,26,1,1,0,0,147,1,30,0,0,0,0,0,10,0,0,0,2021
426,Shi Smith,CAR,WR,23,6,0,11,6,0,0,0,-3,0,1,104,0,10,0,0,0,2021
427,Tommy Sweeney,BUF,TE,26,13,3,12,9,0,0,0,0,0,0,44,1,10,0,1,0,2021
428,Auden Tate,CIN,WR,24,7,0,4,3,0,0,0,0,0,0,39,1,10,0,0,0,2021
429,Cameron Batson,TEN,WR,26,4,0,5,2,0,0,0,15,0,2,15,1,9,0,0,0,2021
430,Josh Gordon,KAN,WR,30,12,7,14,5,0,0,0,0,0,0,32,1,9,0,0,0,2021
431,JaQuan Hardy,DAL,RB,24,3,0,0,0,0,0,0,29,1,4,0,0,9,0,0,0,2021
432,Deon Jackson,IND,RB,22,9,0,0,0,0,0,0,31,1,13,0,0,9,0,0,0,2021
433,Andy Janovich,CLE,RB,28,13,3,4,3,0,0,0,0,1,2,9,0,9,0,0,0,2021
434,Sean McKeon,DAL,TE,24,9,2,6,4,0,0,0,0,0,0,27,1,9,0,0,0,2021
435,Anthony Miller,2TM,WR,27,3,1,12,6,0,0,0,0,0,0,25,1,9,0,0,0,2021
436,Keith Smith,ATL,RB,29,17,8,10,9,0,0,0,31,0,9,56,0,9,0,0,0,2021
