,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year
577,Tutu Atwell,LAR,,22,8,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2021
578,Alex Bachman,NYG,WR,25,3,0,0,0,0,0,0,-3,0,1,0,0,,0,0,0,2021
579,Jake Bargas,MIN,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
580,Kenjon Barner,TAM,RB,32,3,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,2021
581,Andrew Beck,DEN,,25,12,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
582,Nick Bellore,SEA,RB,32,17,0,1,1,0,0,0,0,0,0,4,0,,0,0,0,2021
583,Kurt Benkert,GNB,QB,26,1,0,0,0,0,0,0,-1,0,2,0,0,,0,0,0,2021
584,Rashod Berry,DET,,25,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
585,Nick Boyle,BAL,TE,28,5,3,2,1,0,0,0,0,0,0,2,0,,0,0,0,2021
586,Darius Bradwell,LAC,,24,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
587,John Brown,3TM,,31,4,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,2021
588,Deante Burton,DAL,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
589,Lawrence Cager,CLE,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
590,Stephen Carlson,CLE,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
591,Dan Chisena,MIN,,24,11,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
592,Tyrie Cleveland,DEN,,24,7,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
593,Matt Cole,CAR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
594,Nathan Cottrell,JAX,RB,25,4,0,0,0,0,0,0,3,0,1,0,0,,0,0,0,2021
595,Isaiah Coulter,CHI,,23,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
596,River Cracraft,SFO,,27,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
597,Chase Daniel,LAC,QB,35,1,0,0,0,0,0,0,-2,0,2,0,0,,0,0,0,2021
598,Darrell Daniels,ARI,TE,27,15,4,4,1,0,0,0,0,0,0,0,0,,0,0,0,2021
599,Connor Davis,CLE,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
600,Brandon Dillon,MIN,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
601,Jeff Driskel,HOU,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
602,Trey Edmunds,PIT,,27,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
603,Ben Ellefson,MIN,,25,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
604,Simi Fehoko,DAL,,24,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
605,Maurice Ffrench,LAC,WR,23,3,0,0,0,0,0,0,3,0,1,0,0,,0,0,0,2021
606,Daurice Fountain,KAN,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
607,Travis Fulgham,DEN,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
608,Antonio Gandy-Golden,WAS,,23,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
609,Cullen Gillaspia,NYG,,26,15,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
610,Justin Hardee,NYJ,,27,16,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
611,Clark Harris,CIN,,37,17,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
612,De'Michael Harris,IND,,23,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
613,Jacob Harris,LAR,,24,9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
614,Daniel Helm,LVR,TE,26,9,1,2,1,0,0,0,0,0,0,-1,0,,0,0,0,2021
615,Temarrick Hemingway,WAS,,28,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
616,John Hightower,PHI,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2021
617,Brian Hill,SFO,,26,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
618,Kevin Hogan,TEN,,29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
619,J.P. Holtz,CHI,,28,13,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
620,Tanner Hudson,SFO,,27,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
621,Ryan Izzo,TEN,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
622,Kerryon Johnson,SFO,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
623,KeeSean Johnson,PHI,,25,0,0,,,,,,,,,,,,,,,2021
624,Taiwan Jones,BUF,,33,17,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
625,Matt LaCosse,NWE,,29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
626,Tyler Mabry,SEA,,25,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
627,Jordan Matthews,SFO,,29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
628,Nate McCrary,BAL,RB,22,1,0,0,0,0,0,0,-1,0,1,0,0,,0,0,0,2021
629,Codey McElroy,TAM,,29,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
630,Kellen Mond,MIN,QB,22,1,0,0,0,5,0,3,0,0,0,0,0,,0,0,0,2021
631,David Moore,2TM,,26,3,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,2021
632,Jojo Natson,CLE,,27,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
633,Matthew Orzech,LAR,,26,17,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2021
634,Devine Ozigbo,2TM,RB,25,3,0,1,1,0,0,0,-3,0,1,7,0,,0,0,0,2021
635,Nathan Peterman,LVR,QB,27,1,0,0,0,0,0,0,2,0,2,0,0,,0,0,0,2021
636,Artavis Pierce,CHI,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
637,Giovanni Ricci,CAR,,25,16,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,2021
638,Brett Rypien,DEN,QB,25,1,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,2021
639,Jordan Scarlett,MIA,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
640,Mason Schreck,CIN,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
641,Steven Sims,PIT,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
642,Matthew Slater,NWE,,36,17,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
643,Devin Smith,JAX,,29,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
644,Vyncint Smith,NYJ,,25,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
645,Nate Solder,NYG,,33,16,16,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
646,Stephen Sullivan,CAR,,25,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
647,Tyrone Swoopes,WAS,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
648,Colin Thompson,CAR,,28,11,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
649,Cody Thompson,SEA,,25,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
650,Noah Togiai,PHI,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
651,Ross Travis,2TM,,28,4,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
652,Jordan Veasy,HOU,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
653,Kahale Warring,2TM,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
654,Justin Watson,TAM,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
655,Davis Webb,BUF,QB,26,1,0,0,0,0,0,0,-3,0,2,0,0,,0,0,0,2021
656,Nsimba Webster,CHI,,25,6,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2021
657,David Wells,ARI,,26,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
658,Jordan Wilkins,2TM,,27,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
659,Deon Yelder,TAM,TE,26,5,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,2021
660,Khari Blasingame,TEN,RB,25,11,3,2,2,0,0,0,6,0,3,4,0,-1,0,1,1,2021
661,Jacob Eason,IND,QB,24,1,0,0,0,25,0,5,0,0,0,0,0,-1,1,0,0,2021
662,Feleipe Franks,ATL,QB,24,9,0,0,0,0,0,1,6,0,3,0,0,-1,1,0,0,2021
663,Racey McMath,TEN,WR,22,9,0,6,2,0,0,0,0,0,0,8,0,-1,0,1,1,2021
664,Malik Taylor,GNB,WR,26,10,0,3,2,0,0,0,0,0,0,14,0,-1,0,1,1,2021
665,Logan Woodside,TEN,QB,26,5,0,0,0,0,0,0,-6,0,6,0,0,-1,0,0,0,2021
666,Travis Benjamin,SFO,,32,10,0,5,0,0,0,0,0,0,0,0,0,-2,0,1,1,2021
667,Trenton Cannon,2TM,RB,27,12,0,0,0,0,0,0,4,0,3,0,0,-2,0,1,1,2021
668,John Wolford,LAR,QB,26,3,0,0,0,5,0,4,-1,0,2,0,0,-2,1,0,0,2021
669,Josh Rosen,ATL,QB,24,4,0,0,0,19,0,11,0,0,0,0,0,-3,2,0,0,2021
670,Diontae Spencer,DEN,WR,29,15,0,4,1,0,0,0,0,0,0,-3,0,-4,0,2,2,2021
