Player,2021 FantasyPoints,2021 Tm,Pos,AVG,2019 FantasyPoints,2020 FantasyPoints,Average Total Production,Production21,Prediction
Kenny Pickett,102.4,PIT,QB,265.5,0,0,0,0,76.94999999999987
Malik Willis,12.1,TEN,QB,316.0,0,0,0,0,32.78000000000004
Desmond Ridder,80.5,ATL,QB,287.0,0,0,0,0,55.25
Sam Howell,8.1,WAS,QB,,0,0,0,0,17.79999999999997
