Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
Allen Lazard,102.8,65.0,103.0,82.95,78.2360613996799,GNB,WR,110.8,189.1536668745414
James Robinson,0.0,201.0,143.0,66.46666666666667,44.30666666666667,JAX,RB,111.8,195.19343113693543
Christian Kirk,166.2,98.0,131.0,94.25555555555556,74.38820057530687,ARI,WR,112.8,197.9983434037841
Mike Gesicki,136.0,106.0,92.0,71.85945945945946,71.5463208550165,MIA,TE,113.5,184.6537996525002
Russell Gage,98.8,109.0,97.0,67.725,66.0207171091048,ATL,WR,113.8,186.461467952266
Ronald Jones II,0.0,158.0,69.0,69.6140350877193,46.15909431698905,TAM,RB,114.0,174.41589418698888
Alexander Mattison,68.4,74.0,94.0,66.86705202312139,65.31526680478993,MIN,RB,115.3,183.01174551680543
Chase Claypool,0.0,153.0,108.0,87.6219512195122,57.27749251176723,PIT,WR,116.0,190.2463544273075
Kadarius Toney,0.0,0.0,43.0,44.375,14.791666666666666,NYG,WR,121.8,162.2990939524488
Pat Freiermuth,0.0,0.0,92.0,58.01438848920864,19.33812949640288,PIT,TE,122.0,179.2968542926075
Nyheim Hines,105.9,130.0,73.0,88.61061946902655,82.88636810583714,IND,RB,132.3,171.63838327688748
Tyler Boyd,222.9,114.0,117.0,84.96894409937889,76.04100190800958,CIN,WR,139.5,180.56244361179623
Raheem Mostert,165.2,84.0,2.0,10.0,50.34422457432121,SFO,RB,141.0,134.48929339980228
Jarvis Landry,237.4,116.0,81.0,53.00719424460432,71.06909439100565,CLE,WR,141.3,165.77578098103635
Marquez Valdes-Scantling,84.1,104.0,61.0,58.80246913580247,89.10353307236777,GNB,WR,141.8,157.25911248334302
J.D. McKissic,83.8,111.0,85.0,66.76237623762377,77.6951510535669,WAS,RB,144.5,165.70683188703697
Marlon Mack,179.3,6.0,11.0,19.818181818181817,30.148989898989896,IND,RB,145.0,136.46527040995545
Cole Kmet,0.0,34.0,61.0,68.0,40.59259259259259,CHI,TE,145.3,161.17677068768631
Kenneth Gainwell,0.0,0.0,90.0,74.57627118644068,24.858757062146893,PHI,RB,147.3,166.09685199984278
Albert Okwuegbunam,0.0,18.0,43.0,63.67123287671232,27.4801545486477,DEN,TE,148.3,153.54349607453932
Kenny Golladay,248.0,46.0,52.0,64.54867256637168,67.80224203834433,NYG,WR,150.5,154.57168959593452
DeVante Parker,246.2,103.0,64.0,45.75221238938053,69.94969328642001,MIA,WR,151.5,154.31339887348008
Jakobi Meyers,61.9,84.0,103.0,71.33492822966507,75.16935418600775,NWE,WR,153.3,170.83206414662394
Julio Jones,274.1,95.0,49.0,55.063291139240505,65.15219167176365,TEN,WR,156.5,148.26849833148108
Khalil Herbert,0.0,0.0,65.0,75.85714285714286,25.28571428571429,CHI,RB,160.3,151.74228202530728
Michael Gallup,212.7,114.0,57.0,41.47422680412371,70.41873781693526,DAL,WR,160.5,146.6798189527604
Jamaal Williams,146.3,96.0,94.0,54.65745856353591,62.839168803475296,DET,RB,162.5,155.97540153211145
Mecole Hardman,113.5,87.0,82.0,88.7112676056338,105.03620044179485,KAN,WR,164.5,161.08120813696053
Rondale Moore,0.0,0.0,55.0,60.74576271186441,20.24858757062147,ARI,WR,165.8,148.07747005688788
Hunter Henry,148.2,85.0,114.0,83.232,66.62424081557984,NWE,TE,168.5,164.5574131234869
Noah Fant,111.0,87.0,91.0,68.25316455696202,72.38140583629308,DEN,TE,172.8,156.07092026063688
Darrel Williams,67.8,37.0,149.0,86.09950248756219,72.9665008291874,KAN,RB,173.5,171.022212084533
Sony Michel,152.6,68.0,125.0,68.98755186721992,62.49192087549937,LAR,RB,175.0,160.46162423934055
David Njoku,15.1,33.0,72.0,86.29213483146067,51.90710049937578,CLE,TE,175.5,148.8987048157954
D'Onta Foreman,0.0,16.0,85.0,43.25,23.19927536231884,TEN,RB,180.0,142.93733704196265
Van Jefferson,0.0,28.0,118.0,101.26618705035972,57.22206235011991,LAR,WR,182.3,162.670132604851
Sammy Watkins,136.5,50.0,43.0,67.56578947368422,60.56704107175472,BAL,WR,183.0,135.00919719745806
Robert Tonyan,26.0,125.0,32.0,35.06382978723404,55.185961280429375,GNB,TE,185.3,123.80764696115386
Corey Davis,115.1,126.0,71.0,48.0,72.31667045799212,NYJ,WR,189.0,137.46202109255
Gerald Everett,89.8,52.0,70.0,67.83783783783784,62.72811656617082,SEA,TE,194.5,138.64359827128692
Evan Engram,109.4,78.0,57.0,51.42857142857142,49.64728682170542,NYG,TE,195.3,130.81806896087065
Cameron Brate,91.1,40.0,49.0,48.65517241379311,59.11003679301788,TAM,TE,196.5,128.11834704563574
Kenyan Drake,212.2,167.0,73.0,63.84466019417475,64.6301372760539,LVR,RB,197.3,133.87252466722774
Chuba Hubbard,0.0,0.0,113.0,64.42105263157895,21.473684210526315,CAR,RB,201.3,143.1033021710995
K.J. Osborn,0.0,0.0,109.0,86.54545454545455,28.848484848484848,MIN,WR,204.0,147.3869203195897
Curtis Samuel,171.7,135.0,4.0,12.666666666666666,60.19388418998048,WAS,WR,206.0,102.51383356793261
Tyler Higbee,160.4,84.0,86.0,58.04794520547946,68.0086383401582,LAR,TE,209.3,134.32228068560445
Jamison Crowder,197.7,113.0,59.0,44.16393442622951,56.633743907842266,NYJ,WR,209.7,123.89253792326615
Donovan Peoples-Jones,0.0,44.0,76.0,91.30434782608695,66.43478260869564,CLE,WR,210.0,135.95169030393947
Hayden Hurst,76.9,93.0,38.0,51.08771929824561,65.53004491906094,ATL,TE,212.7,117.11211117447846
Trey Sermon,0.0,0.0,25.0,38.8,12.933333333333332,SFO,RB,216.0,108.18822452142666
Kyle Rudolph,111.7,37.0,34.0,63.50769230769231,64.65051576775714,NYG,TE,217.0,113.53096418726177
Mike Davis,11.9,148.0,94.0,66.43877551020408,53.2455492835432,ATL,RB,218.5,132.80405920242956
Odell Beckham Jr.,0.0,64.0,85.0,61.77777777777778,34.55723905723906,2TM,WR,222.0,128.89543043285926
D'Ernest Johnson,15.2,18.0,85.0,91.664,101.10667321867322,CLE,RB,222.3,129.67931520577545
Austin Hooper,189.7,68.0,55.0,56.24242424242424,55.12558220537371,CLE,TE,224.3,116.20366181607486
Boston Scott,96.9,71.0,86.0,71.92233009708738,70.14269240784138,PHI,RB,231.5,122.13375559319124
Devin Duvernay,0.0,33.0,50.0,64.8,53.02028985507246,BAL,WR,232.5,113.34023070470397
KJ Hamler,0.0,60.0,7.0,14.8,26.29767441860465,DEN,WR,233.0,92.55837182674321
Brevin Jordan,0.0,0.0,36.0,33.9375,11.3125,HOU,TE,233.0,104.32933144566572
Logan Thomas,39.3,105.0,36.0,27.76744186046512,50.30276700044141,WAS,TE,233.5,101.24428888561019
Myles Gaskin,31.4,123.0,125.0,61.44491525423729,46.70573453800855,MIA,RB,234.0,133.84689282792576
Isaiah McKenzie,63.3,70.0,33.0,74.02173913043478,72.37088274044795,BUF,WR,235.7,106.89547591764382
Cedrick Wilson Jr.,0.0,35.0,103.0,93.43396226415096,52.35946890286513,DAL,WR,240.0,128.3501288395794
Nico Collins,0.0,0.0,51.0,67.29032258064515,22.43010752688172,HOU,WR,241.3,109.51870641241996
Samaje Perine,1.6,55.0,56.0,82.6046511627907,61.31266149870802,CIN,RB,245.3,110.6076598972441
Marquez Callaway,0.0,21.0,106.0,92.06153846153846,46.95801282051283,NOR,WR,246.0,127.94402358408075
A.J. Green,0.0,64.0,103.0,93.26027397260276,49.62980434848348,ARI,WR,247.7,125.15726606977029
Laviska Shenault Jr.,0.0,99.0,64.0,64.78527607361963,45.30312122162017,JAX,WR,248.5,113.46497582087892
Matt Breida,103.3,33.0,36.0,51.42857142857143,59.69708003141288,BUF,RB,248.7,98.99437073245545
C.J. Uzomah,63.2,15.0,79.0,71.14285714285714,46.22489058467063,CIN,TE,249.0,114.7421582817512
Phillip Lindsay,197.7,59.0,41.0,44.55913978494623,53.40696816360953,2TM,RB,249.0,99.6927166120546
