,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
28,Kendrick Bourne,70.0,0.0,5.0,55.0,12.0,125.0,800.0,126.0,254.0,17.0,7.352941176470588,5.0,925.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,DeVonta Smith,104.0,0.0,5.0,64.0,0.0,0.0,916.0,122.0,90.5,17.0,9.882352941176471,5.0,916.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,A.J. Brown,105.0,0.0,5.0,63.0,2.0,10.0,869.0,118.0,28.5,13.0,12.923076923076923,5.0,879.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Van Jefferson,89.0,0.0,6.0,50.0,2.0,20.0,802.0,118.0,182.3,17.0,8.176470588235293,6.0,822.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tyler Boyd,94.0,0.0,5.0,67.0,2.0,22.0,828.0,117.0,139.5,16.0,10.0625,5.0,850.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Brandon Aiyuk,84.0,0.0,5.0,56.0,5.0,17.0,826.0,114.0,98.8,17.0,8.235294117647058,5.0,843.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,K.J. Osborn,82.0,0.0,7.0,50.0,1.0,10.0,655.0,109.0,204.0,17.0,7.764705882352941,7.0,665.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Chase Claypool,105.0,0.0,2.0,59.0,14.0,96.0,860.0,108.0,116.0,15.0,10.933333333333334,2.0,956.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Marvin Jones,120.0,0.0,4.0,73.0,0.0,0.0,832.0,107.0,0.0,17.0,11.352941176470589,4.0,832.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Marquez Callaway,84.0,0.0,6.0,46.0,0.0,0.0,698.0,106.0,246.0,17.0,7.647058823529412,6.0,698.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,DeAndre Hopkins,64.0,0.0,8.0,42.0,0.0,0.0,572.0,105.0,85.5,10.0,10.6,8.0,572.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,A.J. Green,92.0,0.0,3.0,54.0,0.0,0.0,848.0,103.0,247.7,16.0,9.125,3.0,848.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Allen Lazard,60.0,0.0,8.0,40.0,3.0,32.0,513.0,103.0,110.8,15.0,6.666666666666667,8.0,545.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Jakobi Meyers,126.0,0.0,2.0,83.0,1.0,9.0,866.0,103.0,153.3,17.0,12.294117647058824,2.0,875.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Tim Patrick,85.0,0.0,5.0,53.0,0.0,0.0,734.0,103.0,0.0,16.0,8.625,5.0,734.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Cedrick Wilson Jr.,61.0,0.0,6.0,45.0,2.0,11.0,602.0,103.0,240.0,16.0,6.625,6.0,613.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Russell Gage,94.0,0.0,4.0,66.0,0.0,0.0,770.0,97.0,113.8,14.0,11.428571428571429,4.0,770.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Elijah Moore,77.0,1.0,5.0,43.0,5.0,54.0,538.0,95.0,85.3,11.0,10.909090909090908,6.0,592.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Courtland Sutton,98.0,0.0,2.0,58.0,0.0,0.0,776.0,92.0,60.0,17.0,9.176470588235293,2.0,776.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Robert Woods,69.0,1.0,4.0,45.0,8.0,46.0,556.0,92.0,105.3,9.0,12.666666666666666,5.0,602.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Gabriel Davis,63.0,0.0,6.0,35.0,0.0,0.0,549.0,91.0,71.8,16.0,6.125,6.0,549.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Emmanuel Sanders,72.0,0.0,4.0,42.0,2.0,31.0,626.0,90.0,336.0,14.0,8.142857142857142,4.0,657.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Robby Anderson,110.0,0.0,5.0,53.0,3.0,36.0,519.0,86.0,0.0,17.0,9.588235294117647,5.0,555.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Odell Beckham Jr.,82.0,0.0,5.0,44.0,2.0,14.0,537.0,85.0,222.0,14.0,9.0,5.0,551.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
