Player
Michael Pittman Jr.
AJ Dillon
Ken Walker III
Gabriel Davis
Ronald Jones II
Brian Robinson Jr.
Odell Beckham Jr.
Cedrick Wilson Jr.
Laviska Shenault Jr.
KJ Hamler
Terrace Marshall Jr.
Velus Jones Jr.
Antonio Brown
Devontae Booker
David Johnson
Devonta Freeman
Emmanuel Sanders
Pierre Strong Jr.
Cole Beasley
Latavius Murray
Jared Cook
T.Y. Hilton
Jordan Howard
Calvin Austin III
Benny Snell Jr.
Anthony McFarland Jr.
